# Steen sample-text candidate inventory.
#
# Provenance: the ten sample-text pages of Jan van Steenbergen's Interslavic
# site (https://steen.free.fr/interslavic/), which publish each text three
# times in parallel: etymological/flavored Latin, standard Latin, Cyrillic.
# `source_text` is the standard-Latin version; `flavored_text` is the
# etymological version as published by the source, and is empty for
# maly_princ.html, which pairs standard spelling with an English gloss
# instead.
#
# Rows are sentences, mined with quotation tracking. A sentence inside
# direct speech is still a sentence, so it is its own row; the surrounding
# quotation's delimiters belong to the span, not to it, and are stripped.
# `framed` marks a sentence that carries a quotative frame of its own
# (words outside the quotation, as in `«Ne», odgovoril pes.`) — there the
# marks are structural and are kept. `quoted` marks a sentence that sits
# inside direct speech.
#
# `disposition` is `fixture:<case id>` or `skip:<reason>`; it must be
# non-empty for every row. tests/corpus_inventory.rs enforces that, and each
# fixture file asserts its own ids appear here.
id	page	index	source_text	flavored_text	framed	quoted	disposition
babel_text-001	babel_text	1	I vsa zemja iměla jedin jezyk i podobne slova.	I vśa zemja iměla jedin język i podobne slova.	no	no	skip:spelled-out-numerals: a documented non-goal
babel_text-002	babel_text	2	Ale kogda ljudi prěměstili se iz vozhoda, oni našli ravninu v kraju Šinar i onde osadili se.	Ale kȯgda ljudi prěměstili sę iz vȯzhoda, oni našli råvninų v kraju Šinar i onde osadili sę.	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
babel_text-003	babel_text	3	I oni govorili jedin k drugomu: «Hodite, izdělajmo cegliny i dobro je palimo!»	I oni govorili jedin k drugomu: «Hodite, izdělajmo cegliny i dobro je palimȯ!»	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
babel_text-004	babel_text	4	I cegliny služili jim kako kamenje, a smola služila jim kako cement.	I cegliny služili jim kako kamenje, a smola služila jim kako cement.	no	no	skip:clause-coordination: coordinating two finite clauses is not modelled
babel_text-005	babel_text	5	I oni govorili: «Hodite, budujmo grad i věžu, ktora bude dosegati až do neba, i izdělajmo sobě ime, da byhmo ne razprostranili se po cěloj zemji.»	I oni govorili: «Hodite, budujmo gråd i věžų, ktora bųde dosęgati až do neba, i izdělajmȯ sobě imę, da byhmo ne råzprostrånili sę po cěloj zemji.»	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
babel_text-006	babel_text	6	Togda Bog sšel v dol, da by uviděl grad i věžu, ktore děti ljudij budovali.	Tȯgda Bog sšel v dol, da by uviděl gråd i věžų, ktore děti ljudij budovali.	no	no	skip:relative-clause-shape: gap role or relativizer form outside the supported subj/obj/pp set
babel_text-007	babel_text	7	I Bog govoril: «Vidite!	I Bog govoril: «Vidite!	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
babel_text-008	babel_text	8	Jedin narod i jedin jezyk za vsih, a vidi, čto oni načeli dělati.	Jedin narod i jedin język za vsih, a vidi, čto oni načęli dělati.	no	yes	skip:spelled-out-numerals: a documented non-goal
babel_text-009	babel_text	9	I nyně, ničto ne bude jim nemožno, čto by oni ne htěli sdělati.	I nyně, ničto ne bųde jim nemožno, čto by oni ne htěli sdělati.	no	yes	skip:negative-concord: a negative pronoun alongside clausal `ne` is not modelled
babel_text-010	babel_text	10	Sojdimo i razměšajmo jim jezyk, da by oni ne razuměli se jedin drugogo.»	Sȯjdimo i råzměšajmo jim język, da by oni ne råzuměli sę jedin drugogo.»	yes	no	skip:quotative-frame: direct speech with a `rěkl X` frame is not modelled; applied uniformly to every framed row
babel_text-011	babel_text	11	I Bog razprostranil jih po cěloj zemji, a oni prěstali budovati grad.	I Bog råzprostrånil jih po cěloj zemji, a oni prěstali budovati gråd.	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
babel_text-012	babel_text	12	Zato on nazyvaje se Babelj, zato že onde Bog razměšal jezyk cěloj zemje i odtud Bog razprostranil jih po cěloj zemji.	Zato on nazyvaje sę Babelj, zato že onde Bog råzměšal język cěloj zemje i odtųd Bog råzprostrånil jih po cěloj zemji.	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
northwind-001	northwind	1	Sěverny Větr i Solnce sporili se o tom, koj iz njih jest silnějši, kogda prohodil putovatelj ovineny v teplom plašču.	Sěverny Větr i Sȯlnce sporili sę o tom, koj iz njih jest silnějši, kȯgda prohodil pųtovatelj ovineny v teplom plašču.	no	no	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
northwind-002	northwind	2	Oni dogovorili se, že togo, kto prvy uspěje pričiniti, že putovatelj sojme svoj plašč, trěba jest uznati za silnějšego od drugogo.	Oni dogovorili sę, že togo, kto pŕvy uspěje pričiniti, že pųtovatelj sȯjme svoj plašč, trěba jest uznati za silnějšego od drugogo.	no	no	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
northwind-003	northwind	3	Na čto Sěverny Větr načel duti tako močno kako mogl, ale čim močněje on dul, tym bolje putovatelj ovival se v plašču.	Na čto Sěverny Větr načęl dųti tako moćno kako mogl, ale čim moćněje on dųl, tym bolje pųtovatelj ovival sę v plašču.	no	no	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
northwind-004	northwind	4	I nakonec Sěverny Větr byl prinudženy, da by poddal se.	I nakonec Sěverny Větr byl prinuđeny, da by poddal sę.	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
northwind-005	northwind	5	Potom Solnce načelo blěskati goreče, a putovatelj směsta sjel svoj plašč.	Potom Sȯlnce načęlo blěskati goręće, a pųtovatelj směsta sjęl svoj plašč.	no	no	skip:fronted-adjunct: a clause-initial prepositional or adverbial adjunct cannot be fronted ahead of the subject
northwind-006	northwind	6	Togda Sěverny Větr iměl priznati, že Solnce jest silnějše iz njih dvoh.	Tȯgda Sěverny Větr iměl priznati, že Sȯlnce jest silnějše iz njih dvoh.	no	no	skip:degree: comparative/superlative predicates and `neželi` standards are not wired into the phrase layer
otcze_nasz-001	otcze_nasz	1	Otče naš, ktory jesi v nebesah,	Otče naš, ktory jesi v nebesah,	no	no	skip:relative-clause-shape: gap role or relativizer form outside the supported subj/obj/pp set
otcze_nasz-002	otcze_nasz	2	nehaj sveti se ime Tvoje.	nehaj svęti sę imę Tvoje.	no	no	skip:postposed-possessive-and-address: verse-order possessives after the noun, and imperative clauses whose addressee is named
otcze_nasz-003	otcze_nasz	3	Nehaj prijde kraljevstvo Tvoje,	Nehaj prijde kråljevstvo Tvoje,	no	no	skip:postposed-possessive-and-address: the possessive follows its noun in verse order (`kråljevstvo Tvoje`)
otcze_nasz-004	otcze_nasz	4	nehaj bude volja Tvoja, kako v nebu tako i na zemji.	nehaj bųde volja Tvoja, kako v nebu tako i na zemji.	no	no	skip:postposed-possessive-and-address: verse-order possessives after the noun, and imperative clauses whose addressee is named
otcze_nasz-005	otcze_nasz	5	Hlěb naš vsakodenny daj nam dnes,	Hlěb naš vśakodenny daj nam dneś,	no	no	skip:postposed-possessive-and-address: verse-order possessives after the noun, and imperative clauses whose addressee is named
otcze_nasz-006	otcze_nasz	6	i odpusti nam naše grěhy,	i odpusti nam naše grěhy,	no	no	skip:postposed-possessive-and-address: verse-order possessives after the noun, and imperative clauses whose addressee is named
otcze_nasz-007	otcze_nasz	7	tako kako my odpuščajemo našim grěšnikam.	tako kako my odpušćajemo našim grěšnikam.	no	no	skip:adverb-position: Steen places these adverbs after the verb; this generator places adverbs before it
otcze_nasz-008	otcze_nasz	8	I ne vvedi nas v pokušenje,	I ne vvedi nas v pokušeńje,	no	no	skip:postposed-possessive-and-address: verse-order possessives after the noun, and imperative clauses whose addressee is named
otcze_nasz-009	otcze_nasz	9	ale izbavi nas od zlogo.	ale izbavi nas od zlogo.	no	no	skip:postposed-possessive-and-address: verse-order possessives after the noun, and imperative clauses whose addressee is named
otcze_nasz-010	otcze_nasz	10	Ibo Tvoje jest kraljevstvo i moč i slava, na věky věkov.	Ibo Tvoje jest kråljevstvo i moć i slava, na věky věkov.	no	no	skip:coordination-shape: three-or-more-way or nested coordination
wren-001	wren	1	Strižik iměl svoje gnězdo v garažu.	Strižik iměl svoje gnězdo v garažu.	no	no	fixture:wren-001
wren-002	wren	2	Jedin raz oboje roditeljev odletělo – oni htěli prinesti jedu svojim malym - i ostavili jih samyh.	Jedin raz oboje roditeljev odletělo – oni htěli prinesti jědų svojim malym - i ostavili jih samyh.	no	no	skip:clause-coordination: coordinating two finite clauses is not modelled
